id	name	description	intensity	estimated_duration_minutes	estimated_calories	goals	warm_up_notes	cool_down_notes	is_active	created_at	updated_at	routine_date	status	started_at	completed_at	actual_duration_minutes	completion_notes
c9bb42e7-6a7c-444c-b4c6-f56aa524ea17	Rutina de Fuerza - Lunes	Entrenamiento intensivo de fuerza para parte superior del cuerpo	high	60	400	{strength,muscle_building}	Calentamiento dinámico de 10 minutos con movilidad articular	Estiramientos estáticos y foam rolling	t	2025-08-01 10:28:34.362598+00	2025-08-01 10:28:34.362598+00		planned				
5bdf971c-1a02-4ff4-b206-c7d49e1562fe	Cardio Intenso - Martes	Sesión cardiovascular de alta intensidad	very_high	45	500	{cardio,endurance,fat_loss}	Calentamiento progresivo de 5 minutos	Enfriamiento gradual y hidratación	t	2025-08-01 10:28:34.362598+00	2025-08-01 10:28:34.362598+00		planned				
1ad02979-44bc-4946-a70f-f9af3e7c2ca5	Flexibilidad y Core - Miércoles	Trabajo de flexibilidad y fortalecimiento del core	moderate	40	200	{flexibility,core,balance}	Movilización suave de columna y articulaciones	Relajación y respiración profunda	t	2025-08-01 10:28:34.362598+00	2025-08-01 10:28:34.362598+00		planned				
5b6e4229-1080-4a4f-a4d7-39ab342ceb7e	Fuerza Tren Inferior - Jueves	Entrenamiento de piernas y glúteos	high	55	450	{strength,lower_body}	Activación glútea y movilidad de cadera	Estiramientos de piernas y glúteos	t	2025-08-01 10:28:34.362598+00	2025-08-01 10:28:34.362598+00		planned				
f9cd4e34-f128-4180-8530-d26c34cc9a17	Entrenamiento Funcional - Viernes	Movimientos funcionales y acondicionamiento	moderate	50	350	{functional,conditioning}	Calentamiento funcional	Vuelta a la calma activa	t	2025-08-01 10:28:34.362598+00	2025-08-01 10:28:34.362598+00		planned				
56f63e48-623a-4df2-b659-bb085e88bade	Entrenamiento Completo	Rutina completa para todo el cuerpo	moderate	60	450	{strength,endurance}	Calentamiento de 10 minutos	Estiramientos finales	t	2025-08-01 13:12:47.514741+00	2025-08-01 13:12:47.514741+00	2025-01-08	planned				
52a295e1-a5b2-4cf6-b5bb-4650dff5c685	Rutina de Cuádriceps, Glúteos, Isquiotibiales - Saturday	¡Fortalece tu cuerpo y transforma tus piernas con esta rutina efectiva!	moderate	60	450	{strength,muscle_building}	Realizar 5-10 minutos de cardio ligero seguido de estiramientos dinámicos para cuádriceps, glúteos e isquiotibiales.	Estiramientos estáticos enfocados en cuádriceps, glúteos e isquiotibiales durante 5-10 minutos.	t	2025-08-01 14:22:11.975166+00	2025-08-01 14:22:11.975166+00	2025-08-02	planned				
7314dc2e-be79-4c3a-b3e5-1d1ecae7e52a	Rutina de Pecho, Tríceps, Deltoides - Monday	¡Potencia tu fuerza y define tus músculos con esta intensa rutina!	moderate	60	450	{strength,muscle_building}	Realiza 5-10 minutos de cardio ligero seguido de estiramientos dinámicos para pecho, tríceps y deltoides.	Dedica 5-10 minutos a estiramientos estáticos enfocados en pecho, tríceps y deltoides.	t	2025-08-03 06:03:15.922502+00	2025-08-03 06:03:15.922502+00	2025-08-04	planned				
9ca0d20b-0faf-40d5-8c0f-e783e6d90750	Rutina de Dorsales y Bíceps - Tuesday	Entrena tu fuerza y define tus músculos con esta rutina equilibrada.	moderate	60	450	{strength,muscle_building}	Realiza 5-10 minutos de cardio ligero seguido de estiramientos dinámicos para brazos y espalda.	Estira bien los bíceps y dorsales, manteniendo cada estiramiento por 15-30 segundos.	t	2025-08-04 06:06:19.779979+00	2025-08-04 06:06:19.779979+00	2025-08-05	planned				
0b0c73d9-1ba1-4cc5-987f-3cafe3ba37e8	Rutina de Cuádriceps, Glúteos, Isquiotibiales - Wednesday	¡Fortalece tus piernas y glúteos con esta rutina intensa y efectiva!	moderate	60	450	{strength,muscle_building}	Realiza 5-10 minutos de caminata o bicicleta estática, seguido de estiramientos dinámicos para cuádriceps, glúteos e isquiotibiales.	Termina con estiramientos estáticos de 15-30 segundos para cuádriceps, glúteos e isquiotibiales.	t	2025-08-05 06:04:07.211782+00	2025-08-05 06:04:07.211782+00	2025-08-06	planned				
5d404e4d-82d5-44af-bf88-d8f34088c55c	Rutina de Pecho, Deltoides, Tríceps - Thursday	¡Desafía tus límites y construye un torso fuerte y definido!	moderate	60	450	{strength,muscle_building}	Realiza 5-10 minutos de movilidad articular y estiramientos dinámicos, enfocados en pecho, deltoides y tríceps.	Dedica 5-10 minutos a estiramientos estáticos, concentrándote en los músculos trabajados para mejorar la flexibilidad.	t	2025-08-06 06:04:14.044235+00	2025-08-06 06:04:14.044235+00	2025-08-07	planned				
115ea610-21b7-4951-a181-906e7a053e1c	Rutina de Dorsales y Bíceps - Friday	Desarrolla fuerza y masa muscular en la parte superior con esta rutina enfocada.	moderate	60	450	{strength,muscle_building}	Realiza 5-10 minutos de cardio ligero seguido de estiramientos dinámicos para brazos y espalda.	Estira los músculos trabajados, enfocándote en dorsales y bíceps, manteniendo cada estiramiento 20-30 segundos.	t	2025-08-07 06:03:56.631532+00	2025-08-07 06:03:56.631532+00	2025-08-08	planned				
