id	name	description	category	difficulty	muscle_groups	equipment	instructions	estimated_duration	calories	image_url	video_url	created_at	updated_at
38e5dfcd-7fee-4080-814c-9fa8b9193663	Pushups	Ejercicio de fortalecimiento muscular enfocado en pecho.	strength	intermediate	{Pecho}	"{""Peso corporal""}"	"{""Acuéstate en el suelo boca abajo y coloca tus manos aproximadamente a 36 pulgadas de distancia mientras mantienes tu torso arriba a la longitud de los brazos"",""A continuación, bájate hasta que tu pecho casi toque el suelo mientras inhalas"",""Ahora exhala y presiona tu torso hacia arriba hasta la posición inicial mientras contraes tu pecho"",""Después de una breve pausa en la posición contraída superior, puedes comenzar a bajarte nuevamente para tantas repeticiones como sean necesarias"",""Variaciones: Si eres nuevo en este ejercicio y no tienes la fuerza para realizarlo, puedes doblar las piernas en las rodillas para reducir la resistencia o realizar el ejercicio contra la pared en lugar del suelo"",""Para los levantadores más avanzados, puedes colocar tus pies en una superficie alta como un banco para aumentar la resistencia y apuntar más al pecho superior.""}"	15	50			2025-07-27 14:22:07.946164+00	2025-07-27 14:36:51.246931+00
15c2f59d-b58b-40e6-af40-24fae9e29891	Dumbbell Flyes	Ejercicio de fortalecimiento muscular enfocado en pecho.	strength	intermediate	{Pecho}	{Mancuernas}	"{""Acuéstate en un banco plano con una mancuerna en cada mano descansando encima de tus muslos"",""Las palmas de las manos estarán mirándose entre sí"",""Luego, usando los muslos para ayudar a levantar las mancuernas, levanta las mancuernas una a la vez para poder sostenerlas frente a ti a la anchura de los hombros con las palmas de las manos mirándose entre sí"",""Levanta las mancuernas como si las estuvieras presionando, pero detente y mantén justo antes de bloquear completamente"",""Esta será tu posición inicial"",""Con una ligera flexión en los codos para prevenir estrés en el tendón del bíceps, baja los brazos hacia ambos lados en un arco amplio hasta que sientas un estiramiento en el pecho""}"	15	50			2025-07-27 14:24:45.259305+00	2025-07-27 14:55:23.353139+00
f54c72a6-bce0-4e9c-b977-c7159140b5cc	Elbow plank	Ejercicio de fortalecimiento muscular enfocado en abdominales.	strength	beginner	{Abdominales}	"{""Peso corporal""}"	"{""Ponte en posición de plancha sobre tus codos y dedos de los pies"",""Mantén tu core activado y tu cuerpo en línea recta"",""Evita que tus caderas se hundan o se eleven"",""Mantén esta posición"",""Concéntrate en respirar normalmente"",""Mantén tu cuello en posición neutral""}"	15	40			2025-07-27 14:27:47.259561+00	2025-07-27 14:39:44.051692+00
a01d0d26-b47d-4751-a83f-8a432824cc22	Russian Twist	Ejercicio de fortalecimiento muscular enfocado en abdominales.	strength	intermediate	{Abdominales}	"{""Peso corporal""}"	"{""Siéntate en el suelo con las rodillas dobladas y los pies planos"",""Inclínate ligeramente hacia atrás para activar tu core"",""Levanta los pies del suelo si es posible"",""Mantén las manos juntas frente a tu pecho"",""Rota tu torso hacia la derecha, luego hacia la izquierda"",""Mantén el pecho erguido y el core activado durante todo el ejercicio""}"	15	50			2025-07-27 14:27:47.259561+00	2025-07-27 14:39:44.051692+00
2a59743a-8090-45ad-8c9d-70cb6a90cb5f	Press de Banca Declinado con Barra	Ejercicio de fortalecimiento muscular enfocado en pecho.	strength	intermediate	{Pecho}	{Barra}	"{""Asegura tus piernas al final del banco declinado y acuéstate con una barra usando un agarre de ancho medio (un agarre que crea un ángulo de 90 grados en el medio del movimiento entre los antebrazos y los brazos superiores)"",""Una vez que estés acostado, asegúrate de que tu espalda esté presionada firmemente contra el banco"",""Usando tus manos, levanta la barra del rack y sostenla recta sobre ti con los brazos bloqueados y codos adentro"",""Esta será tu posición inicial"",""Mientras inhalas, baja lentamente hasta que sientas la barra en tu pecho inferior"",""Después de una pausa de un segundo, lleva la barra de vuelta a la posición inicial mientras exhalas y empuja la barra usando los músculos del pecho""}"	15	50			2025-07-27 14:24:45.259305+00	2025-08-14 18:35:08.733235+00
ca4fc37c-ce9c-4460-b3ea-38ba1ebea0d8	Plank	Ejercicio de fortalecimiento muscular enfocado en abdominales.	strength	beginner	{Abdominales}	"{""Peso corporal""}"	"{""Colócate en posición prona en el suelo, apoyando tu peso en los dedos de los pies y antebrazos"",""Tus brazos están doblados y directamente debajo del hombro"",""Mantén tu cuerpo recto en todo momento, y mantén esta posición el mayor tiempo posible"",""Para aumentar la dificultad, se puede levantar un brazo o una pierna""}"	15	40			2025-07-27 14:29:21.97922+00	2025-07-27 14:40:39.153913+00
fa4c482e-b1fe-45f1-9883-e09eb77a87c3	Extensiones de Tríceps en Polea	Ejercicio de fortalecimiento muscular enfocado en tríceps.	strength	intermediate	{Tríceps}	{Polea/Cable}	"{""Conecta una barra recta o angular a una polea alta y agarra con un agarre pronado (palmas hacia abajo) al ancho de los hombros"",""Parado erguido con el torso recto y una muy pequeña inclinación hacia adelante, lleva los brazos superiores cerca de tu cuerpo y perpendiculares al suelo"",""Los antebrazos deben estar apuntando hacia la polea mientras sostienen la barra"",""Esta es tu posición inicial"",""Usando los tríceps, lleva la barra hacia abajo hasta que toque la parte frontal de tus muslos y los brazos estén completamente extendidos perpendiculares al suelo"",""Los brazos superiores deben permanecer siempre inmóviles junto a tu torso y solo los antebrazos deben moverse""}"	15	50			2025-07-27 14:26:04.755052+00	2025-08-14 18:43:02.324196+00
330bf282-33ba-44c4-9f01-8ceb3d3aee45	Bicycle Crunches	Ejercicio de fortalecimiento muscular enfocado en abdominales.	strength	intermediate	{Abdominales}	"{""Peso corporal""}"	"{""Acuéstate en el suelo con la parte baja de la espalda presionada contra el suelo"",""Pon las manos detrás de la cabeza, luego lleva las rodillas hacia el pecho y levanta los omóplatos del suelo"",""Estira la pierna derecha en un ángulo de aproximadamente 45 grados del suelo mientras giras la parte superior del cuerpo hacia la izquierda, llevando el codo derecho hacia la rodilla izquierda""}"	15	50			2025-07-27 14:28:41.186185+00	2025-07-27 14:40:56.025642+00
3d5531d5-cbdd-4bc0-b083-4903565cca36	Mountain Climbers	Ejercicio de ejercicio cardiovascular enfocado en abdominales.	cardio	intermediate	{Abdominales}	"{""Peso corporal""}"	"{""Comienza en posición de flexión, apoyando tu peso en las manos y dedos de los pies"",""Flexionando la rodilla y cadera, lleva una pierna hasta que la rodilla esté aproximadamente debajo de la cadera"",""Esta será tu posición inicial"",""Explosivamente invierte las posiciones de las piernas, extendiendo la pierna doblada hasta que esté recta y apoyada por el dedo del pie, y llevando el otro pie con la cadera y rodilla flexionadas""}"	20	80			2025-07-27 14:29:21.97922+00	2025-07-27 14:40:56.025642+00
7f3bea0d-d7f9-4da2-a08c-ccade6b4eba3	Barbell Full Squat	Ejercicio de fortalecimiento muscular enfocado en cuádriceps.	strength	intermediate	{Cuádriceps}	{Barra}	"{""Este ejercicio se realiza mejor dentro de un rack de sentadillas por razones de seguridad"",""Para comenzar, primero coloca la barra en un rack justo por encima del nivel del hombro"",""Una vez que se elige la altura correcta y se carga la barra, párate debajo de la barra y coloca la parte posterior de tus hombros (ligeramente debajo del cuello) sobre ella"",""Agárrate a la barra usando ambos brazos a cada lado y levántala del rack empujando primero con las piernas y al mismo tiempo enderezando tu torso"",""Aléjate del rack y posiciona tus piernas usando una postura media a la anchura de los hombros con los dedos de los pies ligeramente apuntando hacia afuera"",""Mantén la cabeza arriba en todo momento y mantén la espalda recta""}"	15	50			2025-07-27 14:27:06.277631+00	2025-07-27 14:46:11.938991+00
